dataset,bins,leaves,n_nodes,method,time_mean_s,time_std_s,time_min_s,time_max_s,n_repeats
adult_income,5,1780,3559,usefulness,1.65652846590001,0.05960323619151032,1.5687093559999994,1.7373833810000292,10
adult_income,5,1780,3559,permutation,0.2298884206000082,0.006508630813686594,0.2241762060000383,0.24411644599996407,10
adult_income,5,1780,3559,shap,0.10881923739999025,0.0006353438234660442,0.10787485500003413,0.1099485259999824,10
adult_income,5,1780,3559,lime,0.6095745727999997,0.025320435840774203,0.5817375490000245,0.6657043390000013,10
adult_income,5,2727,5453,usefulness,2.73767221170001,0.0774082760778433,2.6126467899999852,2.8986741150000057,10
adult_income,5,2727,5453,permutation,0.2378289532999986,0.008224843819985957,0.22972765899999104,0.25158706999997094,10
adult_income,5,2727,5453,shap,0.17671973719998846,0.0006587993595135381,0.1758921379999947,0.17784212200001548,10
adult_income,5,2727,5453,lime,0.6185464950999858,0.015358862768956488,0.58717741199996,0.6308032629999616,10
adult_income,5,4178,8355,usefulness,4.44183783769999,0.032926961960222906,4.356918140999994,4.468765901999973,10
adult_income,5,4178,8355,permutation,0.2645052462000024,0.0011711346635988973,0.2629050679999523,0.2672783980000304,10
adult_income,5,4178,8355,shap,0.2877451538999935,0.0003947007736580139,0.2872914069999979,0.2884061610000117,10
adult_income,5,4178,8355,lime,0.6314812648000043,0.0027864758463408655,0.6288626650000424,0.6386137169999984,10
adult_income,5,6400,8609,usefulness,4.539029392899994,0.03650435832029325,4.496233220000022,4.60996142099998,10
adult_income,5,6400,8609,permutation,0.26680078099999494,0.0012055679156531202,0.26499166600001445,0.26872350399997913,10
adult_income,5,6400,8609,shap,0.2978073921999851,0.0010588213709922724,0.29699624199997743,0.3008031059999894,10
adult_income,5,6400,8609,lime,0.630302052899998,0.0018140039535361238,0.6268779399999858,0.633732431999988,10
