strategy,bins,feature,importance,std
kmeans,5,holiday,0.01033130858083179,0.0031828701774485563
kmeans,5,workingday,0.06632371847254082,0.006774675240329676
kmeans,5,weathersit,0.044798620904571915,0.005240712962370427
kmeans,5,mnth,0.05251428174626751,0.006204782459725422
kmeans,5,hr,0.25202766559343504,0.00921488997161469
kmeans,5,weekday,0.04344849712461649,0.004899464374518455
kmeans,5,temp,0.09019304572804542,0.04665044902447503
kmeans,5,atemp,0.10978127887156697,0.04362409044321185
kmeans,5,hum,0.12742993885485332,0.007258547934710541
kmeans,5,windspeed,0.041476470334517686,0.005116273206509638
kmeans,6,season,0.07477032257045683,0.010056810419467781
kmeans,6,yr,0.08993774720398302,0.00528662228173095
kmeans,6,holiday,0.008571760709617226,0.003782617160627683
kmeans,6,workingday,0.04446185428642076,0.0041270694525180306
kmeans,6,weathersit,0.07423678109761395,0.006238725720833436
kmeans,6,mnth,0.06047663404853629,0.007924120236007448
kmeans,6,hr,0.27099229105618167,0.009328086131103716
kmeans,6,weekday,0.05743596704150704,0.006067158512109533
kmeans,6,temp,0.1019225284902168,0.04593029233091957
kmeans,6,atemp,0.07580542995947288,0.0463211108196679
kmeans,6,hum,0.10276391598214793,0.0071134739435794285
kmeans,6,windspeed,0.038624767553845654,0.006314581757465176
kmeans,8,season,0.05834128065720922,0.01327738591449171
kmeans,8,yr,0.09294671863387097,0.007349636029717873
kmeans,8,holiday,0.008495514967198269,0.0029967700328820397
kmeans,8,workingday,0.04480503913858068,0.006064040964057775
kmeans,8,weathersit,0.05040959626658564,0.004844942919474321
kmeans,8,mnth,0.06123071299996325,0.008670762589922451
kmeans,8,hr,0.2625736978229145,0.007163364577078822
kmeans,8,weekday,0.05332063460134526,0.006034601273354393
kmeans,8,temp,0.10643673931539915,0.05378334754563831
kmeans,8,atemp,0.09458844769752688,0.048318052447650604
kmeans,8,hum,0.11814666366236246,0.008234985555371842
kmeans,8,windspeed,0.04870495423704371,0.0050559444648166
