strategy,bins,feature,importance,std
quantile,5,AveRooms,0.09203415181546871,0.005868284745523771
quantile,5,AveBedrms,0.03672322089926874,0.005353704543703893
quantile,5,Population,0.04266790369199385,0.005093610240755942
quantile,5,AveOccup,0.14653950101238963,0.00846479385643973
quantile,5,Latitude,0.16512996945300945,0.009353050783863046
quantile,5,Longitude,0.1529722315479883,0.008071396851837201
quantile,6,MedInc,0.27821818387358976,0.010104427097870156
quantile,6,HouseAge,0.0713297940402056,0.0067780198588150925
quantile,6,AveRooms,0.07382301989103776,0.008506036037100111
quantile,6,AveBedrms,0.037318817737723525,0.004397943167380871
quantile,6,Population,0.04061227189204875,0.0047050745183191
quantile,6,AveOccup,0.14199288019899725,0.007905141760095085
quantile,6,Latitude,0.1831255155541486,0.008885590690932253
quantile,6,Longitude,0.17357951681224867,0.006090516294401251
quantile,8,MedInc,0.2800261832583517,0.0135785781452147
quantile,8,HouseAge,0.07573353077152095,0.0064465795544653955
quantile,8,AveRooms,0.09184823844853611,0.013707137711148216
quantile,8,AveBedrms,0.03560179545248088,0.004819737887895318
quantile,8,Population,0.04676926264593494,0.005270253647073504
quantile,8,AveOccup,0.1403879855897748,0.007209573661521771
quantile,8,Latitude,0.16423164539402627,0.014913993247121296
quantile,8,Longitude,0.1654013584393743,0.009480670176774173
kmeans,3,MedInc,0.3121518438623028,0.04790778845555525
kmeans,3,HouseAge,0.15353434928628465,0.0221684490068653
kmeans,3,AveRooms,0.042334460255880633,0.02454410247212113
kmeans,3,AveBedrms,0.05458407366444325,0.02231452027908801
kmeans,3,Population,0.03658967768246789,0.0082941366288416
kmeans,3,AveOccup,0.07858204362688766,0.04736330419695496
kmeans,3,Latitude,0.181111505243464,0.025945457931850838
kmeans,3,Longitude,0.14111204637826907,0.018786331476806594
kmeans,4,MedInc,0.28511378834663215,0.025583531083427796
kmeans,4,HouseAge,0.10373441864810781,0.026448815375231884
kmeans,4,AveRooms,0.012498849769144822,0.00984077467254622
kmeans,4,AveBedrms,0.014180959862210869,0.012211311479310576
kmeans,4,Population,0.031092338060414365,0.007423414923840346
kmeans,4,AveOccup,0.13850670740718563,0.02720517715934084
kmeans,4,Latitude,0.20113266291789592,0.03003475966508248
kmeans,4,Longitude,0.21374027498840864,0.03574661791733996
kmeans,5,MedInc,0.30713944203488247,0.021515030196776853
kmeans,5,HouseAge,0.10076653813002377,0.014310356832426596
kmeans,5,AveRooms,0.03442561038300537,0.019139900777113666
kmeans,5,AveBedrms,0.029577149652196426,0.019809242518986813
kmeans,5,Population,0.024168788637283514,0.007084156113539001
kmeans,5,AveOccup,0.1582608193073672,0.04272956183777097
kmeans,5,Latitude,0.15589163785811763,0.017286230397769744
kmeans,5,Longitude,0.18977001399712365,0.01731190033759564
kmeans,6,MedInc,0.30067453738321487,0.031844291811408396
kmeans,6,HouseAge,0.12671719316084018,0.029604526913509833
kmeans,6,AveRooms,0.06347410542462095,0.026041946603324238
